Ass;11;pik;/karten-klein/pik-A.png
2;2;pik;/karten-klein/pik-2.png
3;3;pik;/karten-klein/pik-3.png
4;4;pik;/karten-klein/pik-4.png
5;5;pik;/karten-klein/pik-5.png
6;6;pik;/karten-klein/pik-6.png
7;7;pik;/karten-klein/pik-7.png
8;8;pik;/karten-klein/pik-8.png
9;9;pik;/karten-klein/pik-9.png
10;10;pik;/karten-klein/pik-10.png
Bube;10;pik;/karten-klein/pik-bube.png
Dame;10;pik;/karten-klein/pik-dame.png
Koenig;10;pik;/karten-klein/pik-koenig.png
Ass;11;herz;/karten-klein/herz-A.png
2;2;herz;/karten-klein/herz-2.png
3;3;herz;/karten-klein/herz-3.png
4;4;herz;/karten-klein/herz-4.png
5;5;herz;/karten-klein/herz-5.png
6;6;herz;/karten-klein/herz-6.png
7;7;herz;/karten-klein/herz-7.png
8;8;herz;/karten-klein/herz-8.png
9;9;herz;/karten-klein/herz-9.png
10;10;herz;/karten-klein/herz-10.png
Bube;10;herz;/karten-klein/herz-bube.png
Dame;10;herz;/karten-klein/herz-dame.png
Koenig;10;herz;/karten-klein/herz-koenig.png
Ass;11;karo;/karten-klein/karo-A.png
2;2;karo;/karten-klein/karo-2.png
3;3;karo;/karten-klein/karo-3.png
4;4;karo;/karten-klein/karo-4.png
5;5;karo;/karten-klein/karo-5.png
6;6;karo;/karten-klein/karo-6.png
7;7;karo;/karten-klein/karo-7.png
8;8;karo;/karten-klein/karo-8.png
9;9;karo;/karten-klein/karo-9.png
10;10;karo;/karten-klein/karo-10.png
Bube;10;karo;/karten-klein/karo-bube.png
Dame;10;karo;/karten-klein/karo-dame.png
Koenig;10;karo;/karten-klein/karo-koenig.png
Ass;11;kreuz;/karten-klein/kreuz-A.png
2;2;kreuz;/karten-klein/kreuz-2.png
3;3;kreuz;/karten-klein/kreuz-3.png
4;4;kreuz;/karten-klein/kreuz-4.png
5;5;kreuz;/karten-klein/kreuz-5.png
6;6;kreuz;/karten-klein/kreuz-6.png
7;7;kreuz;/karten-klein/kreuz-7.png
8;8;kreuz;/karten-klein/kreuz-8.png
9;9;kreuz;/karten-klein/kreuz-9.png
10;10;kreuz;/karten-klein/kreuz-10.png
Bube;10;kreuz;/karten-klein/kreuz-bube.png
Dame;10;kreuz;/karten-klein/kreuz-dame.png
Koenig;10;kreuz;/karten-klein/kreuz-koenig.png
