Ass;11;pik;/Karten/klein/pik-A.png
2;2;pik;/Karten/klein/pik-2.png
3;3;pik;/Karten/klein/pik-3.png
4;4;pik;/Karten/klein/pik-4.png
5;5;pik;/Karten/klein/pik-5.png
6;6;pik;/Karten/klein/pik-6.png
7;7;pik;/Karten/klein/pik-7.png
8;8;pik;/Karten/klein/pik-8.png
9;9;pik;/Karten/klein/pik-9.png
10;10;pik;/Karten/klein/pik-10.png
Bube;10;pik;/Karten/klein/pik-bube.png
Dame;10;pik;/Karten/klein/pik-dame.png
König;10;pik;/Karten/klein/pik-koenig.png
Ass;11;herz;/Karten/klein/herz-A.png
2;2;herz;/Karten/klein/herz-11.png
3;3;herz;/Karten/klein/herz-12.png
4;4;herz;/Karten/klein/herz-13.png
5;5;herz;/Karten/klein/herz-14.png
6;6;herz;/Karten/klein/herz-15.png
7;7;herz;/Karten/klein/herz-16.png
8;8;herz;/Karten/klein/herz-17.png
9;9;herz;/Karten/klein/herz-18.png
10;10;herz;/Karten/klein/herz-19.png
Bube;10;herz;/Karten/klein/herz-bube.png
Dame;10;herz;/Karten/klein/herz-dame.png
König;10;herz;/Karten/klein/herz-koenig.png
Ass;11;karo;/Karten/klein/karo-A.png
2;2;karo;/Karten/klein/karo-20.png
3;3;karo;/Karten/klein/karo-21.png
4;4;karo;/Karten/klein/karo-22.png
5;5;karo;/Karten/klein/karo-23.png
6;6;karo;/Karten/klein/karo-24.png
7;7;karo;/Karten/klein/karo-25.png
8;8;karo;/Karten/klein/karo-26.png
9;9;karo;/Karten/klein/karo-27.png
10;10;karo;/Karten/klein/karo-28.png
Bube;10;karo;/Karten/klein/karo-bube.png
Dame;10;karo;/Karten/klein/karo-dame.png
König;10;karo;/Karten/klein/karo-koenig.png
Ass;11;kreuz;/Karten/klein/kreuz-A.png
2;2;kreuz;/Karten/klein/kreuz-29.png
3;3;kreuz;/Karten/klein/kreuz-30.png
4;4;kreuz;/Karten/klein/kreuz-31.png
5;5;kreuz;/Karten/klein/kreuz-32.png
6;6;kreuz;/Karten/klein/kreuz-33.png
7;7;kreuz;/Karten/klein/kreuz-34.png
8;8;kreuz;/Karten/klein/kreuz-35.png
9;9;kreuz;/Karten/klein/kreuz-36.png
10;10;kreuz;/Karten/klein/kreuz-37.png
Bube;10;kreuz;/Karten/klein/kreuz-bube.png
Dame;10;kreuz;/Karten/klein/kreuz-dame.png
König;10;kreuz;/Karten/klein/kreuz-koenig.png
